Year,Australian Open,French Open,Wimbledon,US Open
2000,Andre Agassi,Gustavo Kuerten,Pete Sampras,Marat Safin
2001,Andre Agassi,Gustavo Kuerten,Goran Ivanišević,Lleyton Hewitt
2002,Thomas Johansson,Albert Costa,Lleyton Hewitt,Pete Sampras
2003,Andre Agassi,Juan Carlos Ferrero,Roger Federer,Andy Roddick
2004,Roger Federer,Gaston Gaudio,Roger Federer,Roger Federer
2005,Marat Safin,Rafael Nadal,Roger Federer,Roger Federer
2006,Roger Federer,Rafael Nadal,Roger Federer,Roger Federer
2007,Roger Federer,Rafael Nadal,Rafael Nadal,Roger Federer
2008,Novak Djokovic,Rafael Nadal,Rafael Nadal,Roger Federer
2009,Rafael Nadal,Roger Federer,Roger Federer,Juan Martín del Potro
2010,Roger Federer,Rafael Nadal,Rafael Nadal,Rafael Nadal
2011,Novak Djokovic,Rafael Nadal,Novak Djokovic,Novak Djokovic
2012,Novak Djokovic,Rafael Nadal,Roger Federer,Andy Murray
2013,Novak Djokovic,Rafael Nadal,Andy Murray,Rafael Nadal
2014,Stan Wawrinka,Rafael Nadal,Novak Djokovic,Marin Čilić
2015,Novak Djokovic,Stan Wawrinka,Novak Djokovic,Novak Djokovic
2016,Novak Djokovic,Novak Djokovic,Andy Murray,Stan Wawrinka
2017,Roger Federer,Rafael Nadal,Roger Federer,Rafael Nadal
2018,Roger Federer,Rafael Nadal,Novak Djokovic,Novak Djokovic
2019,Novak Djokovic,Rafael Nadal,Novak Djokovic,Rafael Nadal
2020,Novak Djokovic,Rafael Nadal,,Dominic Thiem
2021,Novak Djokovic,Novak Djokovic,Novak Djokovic,Daniil Medvedev
2022,Rafael Nadal,Rafael Nadal,Novak Djokovic,Carlos Alcaraz
2023,Novak Djokovic,Novak Djokovic,Carlos Alcaraz,Novak Djokovic
2024,Jannik Sinner,Carlos Alcaraz,Carlos Alcaraz,Jannik Sinner
